556,0.083,6,0.5307,4,2.0984,30,10.3333,73,9.358,155,39.9507,-0.010187,-0.008781
564,0.083,21,0.6223,-11,2.2005,30,10.6182,73,9.8206,155,41.16,-0.010520,-0.009088
572,0.083,6,0.716,4,2.2978,30,10.9024,58,10.2918,155,42.3774,-0.010860,-0.009402
581,0.084,6,0.8104,-11,2.3906,30,11.1859,73,10.77,200,43.6063,-0.011206,-0.009721
589,0.084,21,0.9055,4,2.4789,30,11.4685,43,11.2536,170,44.8512,-0.011560,-0.010046
598,0.084,6,1.0025,-11,2.5628,45,11.7515,43,11.7382,185,46.1112,-0.011919,-0.010377
606,0.084,21,1.1013,19,2.6436,30,12.036,43,12.221,200,47.3869,-0.012281,-0.010714
615,0.084,21,1.2032,4,2.7241,45,12.3221,73,12.7046,215,48.6826,-0.012649,-0.011058
623,0.084,21,1.3094,19,2.8055,30,12.6094,73,13.194,230,50.0026,-0.013023,-0.011406
631,0.084,21,1.4197,19,2.8892,30,12.8967,73,13.6915,215,51.3484,-0.013404,-0.011761
640,0.084,6,1.5326,-11,2.9737,30,13.1823,58,14.1954,215,52.7177,-0.013794,-0.012122
649,0.085,21,1.6468,-11,3.0537,30,13.4664,88,14.7054,215,54.1079,-0.014193,-0.012489
657,0.085,21,1.7634,-11,3.1267,30,13.7488,73,15.2237,215,55.518,-0.014602,-0.012863
665,0.084,21,1.8838,-11,3.1928,45,14.0307,28,15.7461,215,56.947,-0.015018,-0.013244
674,0.085,21,2.0077,-11,3.2521,30,14.3135,58,16.2656,170,58.3899,-0.015439,-0.013632
683,0.085,36,2.1363,-11,3.3049,30,14.5957,58,16.7835,200,59.8407,-0.015861,-0.014026
691,0.085,21,2.2708,-11,3.3513,30,14.8759,58,17.3022,215,61.3012,-0.016288,-0.014427
700,0.085,21,2.4096,-11,3.3914,30,15.154,58,17.8216,185,62.7733,-0.016719,-0.014834
708,0.085,21,2.5514,-11,3.4254,30,15.43,58,18.3414,185,64.2522,-0.017154,-0.015247
716,0.085,21,2.6958,4,3.4547,30,15.7038,43,18.8601,185,65.7345,-0.017591,-0.015666
724,0.084,21,2.8429,-11,3.4809,30,15.9755,58,19.3763,200,67.2211,-0.018029,-0.016090
734,0.085,21,2.9926,4,3.5039,30,16.2449,43,19.8899,215,68.7152,-0.018470,-0.016517
742,0.085,51,3.1472,-11,3.5238,30,16.5121,58,20.4006,215,70.22,-0.018912,-0.016948
750,0.085,21,3.3093,19,3.542,45,16.7783,43,20.9085,215,71.7361,-0.019356,-0.017382
759,0.085,21,3.476,4,3.5613,30,17.0447,58,21.4134,200,73.2612,-0.019800,-0.017818
768,0.085,21,3.6444,19,3.5828,45,17.3114,43,21.9153,230,74.7947,-0.020244,-0.018256
776,0.085,21,3.8145,-11,3.6053,30,17.5781,43,22.4127,230,76.3397,-0.020689,-0.018696
784,0.084,36,3.9875,19,3.6272,30,17.8435,43,22.9042,215,77.8967,-0.021135,-0.019138
793,0.085,36,4.1659,-11,3.6488,15,18.1048,43,23.3898,200,79.4608,-0.021582,-0.019581
801,0.085,21,4.3494,4,3.6685,30,18.3608,43,23.8695,215,81.0288,-0.022028,-0.020024
809,0.085,21,4.5353,-11,3.6853,30,18.6128,43,24.3433,200,82.5999,-0.022476,-0.020469
819,0.085,21,4.722,-11,3.6977,30,18.8623,43,24.8112,215,84.1735,-0.022924,-0.020915
827,0.085,21,4.9096,-11,3.7047,30,19.109,73,25.2758,185,85.7477,-0.023373,-0.021361
835,0.085,21,5.0979,19,3.7089,30,19.3531,43,25.7397,170,87.3167,-0.023822,-0.021807
844,0.085,21,5.2868,-11,3.7132,45,19.5958,58,26.2014,185,88.876,-0.024268,-0.022254
