millis, dt(10),fsr1,fsr1_calibrated,fsr2,fsr2_calibrated,fsr3,fsr3_calibrated,fsr4,fsr4_calibrated,fsr5,fsr5_calibrated,pos,vel,vel_filtered(exp=0.9),acc,acc_filtered(exp=0.9)
60595,0.097,-21,-8.0089,-3,-1.4718,0,0.8803,-24,-7.1937,4,-7.1164,1.9715,0.0,-0.0,0.0,0.0004
60604,0.096,9,-8.0144,-18,-1.5206,15,0.9125,-9,-7.1968,-11,-7.1051,1.9715,0.0,-0.0,0.0,0.0
60614,0.097,-21,-8.019,12,-1.57,0,0.9462,-9,-7.2018,-11,-7.0941,1.9715,0.0,-0.0,0.0,0.0
60623,0.096,-6,-8.0242,-48,-1.6213,-15,0.9786,-9,-7.2072,-11,-7.0849,1.9715,0.0,-0.0,0.4832,0.4349
60634,0.098,-21,-8.0311,-3,-1.6782,-15,1.0059,6,-7.2118,4,-7.0759,1.9715,0.0,-0.0,0.0,0.0435
60643,0.096,-6,-8.0398,-63,-1.7434,0,1.0282,-9,-7.2143,-11,-7.0659,1.9715,0.0,-0.0,0.0,0.0043
60653,0.097,-21,-8.0501,-3,-1.8178,0,1.0482,-9,-7.2161,-11,-7.0562,1.9715,0.0,-0.0,0.0,0.0004
60662,0.096,-6,-8.0621,-48,-1.8999,0,1.0673,-9,-7.2184,-11,-7.0482,1.9715,0.0,-0.0,0.0,0.0
60673,0.098,-6,-8.0744,12,-1.9868,0,1.0855,6,-7.22,4,-7.0404,1.9715,0.0,-0.0,0.0,0.0
60682,0.097,-6,-8.0856,-33,-2.0757,15,1.1042,-9,-7.2195,-11,-7.0317,1.9715,0.0,-0.0,0.0,0.0
60691,0.096,-6,-8.0958,-3,-2.1665,0,1.1246,-9,-7.2184,-11,-7.0232,1.9765,0.0521,0.0469,0.4883,0.4395
60701,0.097,-21,-8.1063,-3,-2.2579,15,1.1468,-9,-7.2179,-11,-7.0163,1.9715,0.0,0.0047,0.0,0.0439
60710,0.096,-21,-8.1197,-18,-2.3485,0,1.1706,6,-7.2167,-11,-7.0111,1.9715,0.0,0.0005,0.0,0.0044
60721,0.098,-6,-8.136,-3,-2.4395,0,1.1946,-9,-7.2135,4,-7.006,1.9715,0.0,0.0,0.0,0.0004
60730,0.096,-21,-8.1538,12,-2.5284,0,1.2176,6,-7.2085,-11,-6.9999,1.9715,0.0,0.0,0.0,0.0
60739,0.096,-21,-8.1742,-18,-2.6137,0,1.2396,-9,-7.2015,19,-6.9913,1.9715,0.0,0.0,0.0,0.0
60749,0.096,-21,-8.1987,12,-2.6969,0,1.2606,-9,-7.1941,4,-6.9779,1.9715,0.0,0.0,0.0,0.0
60759,0.097,-21,-8.227,-18,-2.7781,15,1.2819,6,-7.1861,-11,-6.9609,1.9765,0.0515,0.0464,0.4783,0.4304
60769,0.096,-21,-8.259,-3,-2.8585,0,1.3048,-9,-7.1764,4,-6.9431,1.9715,0.0,0.0046,0.0,0.043
60778,0.096,-21,-8.2947,-18,-2.9395,0,1.328,-9,-7.1662,-11,-6.9246,1.9715,0.0,0.0005,0.0,0.0043
60787,0.096,-21,-8.3339,-3,-3.021,0,1.3501,-9,-7.157,-11,-6.9067,1.9715,-0.0521,-0.0468,-0.9761,-0.878
60797,0.096,-6,-8.3752,-18,-3.103,0,1.3711,-9,-7.1487,-11,-6.8907,1.9715,0.0,-0.0047,0.0,-0.0878
60807,0.097,-6,-8.4159,-3,-3.1854,0,1.3911,-9,-7.1412,4,-6.8753,1.9715,0.0,-0.0005,0.0,-0.0088
60817,0.096,-6,-8.4547,117,-3.2564,15,1.4114,6,-7.1333,-11,-6.8591,1.9715,0.0,-0.0,0.0,-0.0009
60826,0.096,-6,-8.4916,132,-3.2924,0,1.4333,-9,-7.1235,-11,-6.8434,1.9715,0.0,-0.0,0.0,-0.0001
60836,0.097,9,-8.5253,-3,-3.2932,0,1.4555,-24,-7.1148,4,-6.8283,1.9715,0.0,-0.0,0.0,-0.0
60846,0.097,-6,-8.5547,-33,-3.2846,0,1.4765,-9,-7.1095,-11,-6.8125,1.9715,0.0,-0.0,0.0,-0.0
60856,0.097,-21,-8.5823,-3,-3.2815,0,1.4965,-9,-7.1063,-11,-6.7972,1.9715,-0.0515,-0.0464,-0.9565,-0.8609
60865,0.096,-6,-8.611,-63,-3.2862,0,1.5154,-9,-7.1039,-11,-6.7837,1.9715,0.0,-0.0046,0.0,-0.0861
60875,0.097,-6,-8.6393,-33,-3.3038,15,1.5346,-9,-7.1023,-11,-6.7722,1.9715,0.0,-0.0005,0.0,-0.0086
60884,0.097,-6,-8.6659,147,-3.3183,0,1.5554,-9,-7.1013,19,-6.7597,1.9715,0.0,-0.0,0.4828,0.4336
60895,0.098,-21,-8.6922,-3,-3.3085,0,1.5765,-9,-7.1011,4,-6.7425,1.9715,0.0,-0.0,0.0,0.0434
60904,0.097,9,-8.7182,-3,-3.2857,0,1.5964,-24,-7.1028,-11,-6.722,1.9715,0.0,-0.0,0.0,0.0043
60913,0.096,99,-8.732,-18,-3.2648,0,1.6152,-9,-7.1078,-11,-6.7022,1.9715,0.0,-0.0,0.0,0.0004
60923,0.097,-6,-8.7247,-33,-3.2495,0,1.633,-9,-7.1146,-11,-6.6845,1.9715,0.0,-0.0,0.0,0.0
60933,0.097,-21,-8.7088,12,-3.2399,0,1.6497,-9,-7.1219,-11,-6.6687,1.9715,0.0,-0.0,0.0,0.0
60943,0.097,-21,-8.6963,-3,-3.2304,0,1.6654,6,-7.1284,-11,-6.6548,1.9715,0.0,-0.0,0.0,0.0
60952,0.096,-6,-8.6871,-48,-3.2237,0,1.6801,-9,-7.1327,4,-6.6416,1.9715,0.0,-0.0,0.4832,0.4349
60962,0.097,-21,-8.6798,-3,-3.2251,15,1.6952,6,-7.1349,-11,-6.6275,1.9715,0.0,-0.0,0.0,0.0435
60972,0.097,-6,-8.6745,-33,-3.2329,0,1.7119,-24,-7.1364,4,-6.6128,1.9715,0.0,-0.0,0.0,0.0043
60981,0.097,99,-8.6604,-3,-3.2456,15,1.7302,-9,-7.1399,-11,-6.5973,1.9715,0.0,-0.0,0.0,0.0004
60991,0.096,-6,-8.6273,-33,-3.2633,0,1.75,-9,-7.1452,-11,-6.5825,1.9765,0.0521,0.0469,0.4883,0.4395
61000,0.096,-6,-8.585,-18,-3.2869,15,1.7713,-9,-7.151,-11,-6.5696,1.9715,0.0,0.0047,0.0,0.0439
61010,0.097,-21,-8.5441,-3,-3.3151,0,1.7941,6,-7.156,-11,-6.5587,1.9715,0.0,0.0005,0.0,0.0044
61020,0.097,-21,-8.5075,-3,-3.3438,0,1.817,-9,-7.1589,-11,-6.5495,1.9715,0.0,0.0,0.0,0.0004
61030,0.097,-21,-8.4761,-3,-3.3716,0,1.8386,6,-7.1598,-11,-6.5422,1.9715,0.0,0.0,0.0,0.0
61039,0.096,-6,-8.4487,-48,-3.4025,0,1.859,-24,-7.1599,-11,-6.5366,1.9715,0.0,0.0,0.0,0.0
61048,0.096,-6,-8.4224,-18,-3.4416,-15,1.877,-9,-7.162,-11,-6.5328,1.9765,0.0521,0.0469,0.4883,0.4395
61059,0.097,-21,-8.3973,-3,-3.4862,15,1.8924,-24,-7.1673,-11,-6.5306,1.9715,0.0,0.0047,0.0,0.0439
61068,0.096,-6,-8.3747,-18,-3.532,105,1.9173,-9,-7.1758,-11,-6.5301,1.9715,0.0,0.0005,0.0,0.0044
61078,0.097,-21,-8.3545,-18,-3.5804,0,1.9607,-9,-7.186,-11,-6.5311,1.9715,0.0,0.0,0.0,0.0004
61087,0.096,-21,-8.3379,-3,-3.6313,0,2.0114,-9,-7.1966,-11,-6.5337,1.9715,-0.0521,-0.0469,-0.9765,-0.8788
61097,0.097,-21,-8.3262,-3,-3.6819,0,2.0602,-9,-7.2075,4,-6.5364,1.9765,0.0515,0.0417,0.4299,0.2991
61107,0.097,-21,-8.3192,-3,-3.731,0,2.1069,-24,-7.2201,4,-6.5367,1.9715,0.0,0.0042,0.0,0.0299
61117,0.097,-6,-8.3156,12,-3.7772,0,2.1516,-24,-7.2369,-11,-6.5346,1.9715,0.0,0.0004,0.0,0.003
61126,0.096,-6,-8.3126,-33,-3.8219,0,2.1944,-9,-7.2579,-11,-6.5329,1.9715,0.0,0.0,0.0,0.0003
61136,0.097,-6,-8.3089,-3,-3.8691,0,2.2353,96,-7.271,-11,-6.5327,1.9715,0.0,0.0,0.0,0.0
61146,0.098,9,-8.3031,-3,-3.9174,0,2.2743,-9,-7.2659,-11,-6.5341,1.9765,0.0,0.0,-0.4783,-0.4305
61155,0.096,-6,-8.294,-3,-3.9641,0,2.3115,-9,-7.2524,-11,-6.5371,1.9715,0.0,0.0,0.0,-0.043
61165,0.097,-21,-8.2844,-3,-4.0092,0,2.347,-9,-7.2398,-26,-6.5428,1.9715,0.0,0.0,0.0,-0.0043
61174,0.096,-6,-8.2768,-63,-4.058,0,2.3806,-9,-7.2282,-11,-6.5526,1.9715,0.0,0.0,0.0,-0.0004
61184,0.097,-6,-8.27,-3,-4.1158,15,2.4139,6,-7.2162,-11,-6.565,1.9715,0.0,0.0,0.4832,0.4348
61194,0.097,-21,-8.2639,-3,-4.1768,0,2.448,6,-7.2011,-11,-6.5787,1.9765,0.0,0.0,-0.4299,-0.3435
61203,0.096,9,-8.2584,-3,-4.2359,0,2.4818,-9,-7.1832,-11,-6.5935,1.9715,0.0,0.0,0.0,-0.0343
61213,0.096,-6,-8.251,-48,-4.2969,0,2.5137,-9,-7.165,-11,-6.6095,1.9715,0.0,0.0,0.0,-0.0034
61222,0.096,-6,-8.2417,-33,-4.3664,0,2.544,-9,-7.148,-11,-6.6267,1.9715,0.0,0.0,0.0,-0.0003
61232,0.096,-21,-8.2331,-3,-4.4429,-15,2.5712,6,-7.1308,-11,-6.6449,1.9715,0.0,0.0,0.0,-0.0
61242,0.096,-6,-8.2267,-18,-4.5207,15,2.5955,-9,-7.112,19,-6.6615,1.9765,0.0,0.0,0.0,-0.0
61251,0.096,9,-8.2196,-18,-4.5999,0,2.6196,-9,-7.0931,-11,-6.6739,1.9715,0.0,0.0,0.0,-0.0
61261,0.096,-6,-8.2093,12,-4.6791,0,2.6434,-9,-7.0753,-11,-6.6849,1.9715,0.0,0.0,0.0,-0.0
61271,0.097,-21,-8.1985,-33,-4.757,0,2.6657,6,-7.0574,4,-6.6958,1.9765,0.0515,0.0464,0.4783,0.4304
61280,0.096,-6,-8.1898,-3,-4.8361,0,2.6864,6,-7.0366,4,-6.704,1.9715,0.0,0.0046,0.0,0.043
61290,0.096,-6,-8.1819,-48,-4.9191,0,2.7057,-9,-7.0132,-11,-6.7096,1.9715,-0.0521,-0.0464,-0.4834,-0.4308
61299,0.096,-6,-8.1735,102,-4.9979,15,2.7248,-9,-6.9897,-11,-6.7151,1.9765,0.0521,0.0422,0.4399,0.3529
61309,0.096,-21,-8.1658,-3,-5.0595,0,2.7451,-9,-6.9676,4,-6.7207,1.9715,0.0,0.0042,0.0,0.0353
61319,0.097,-21,-8.1615,-18,-5.1108,0,2.7652,6,-6.9454,-11,-6.7251,1.9715,0.0,0.0004,0.0,0.0035
61329,0.097,-21,-8.1619,-3,-5.1626,0,2.7838,-9,-6.922,4,-6.7282,1.9715,0.0,0.0,0.0,0.0004
61338,0.096,-6,-8.1654,-3,-5.2136,15,2.8023,-9,-6.8985,19,-6.7274,1.9715,-0.0521,-0.0469,-0.4882,-0.4394
61348,0.097,-21,-8.1707,-3,-5.2625,0,2.8219,-9,-6.8764,-11,-6.7216,1.9765,0.0515,0.0417,0.4299,0.343
61358,0.097,-21,-8.1791,-18,-5.3107,0,2.8413,6,-6.8543,4,-6.7134,1.9765,0.0515,0.0506,0.5213,0.5034
61367,0.096,-21,-8.1917,-3,-5.3594,-15,2.858,-9,-6.831,-11,-6.7044,1.9715,-0.0521,-0.0418,-0.9189,-0.7766
61377,0.097,-6,-8.2072,-3,-5.4073,0,2.8705,-9,-6.8077,-11,-6.6958,1.9715,0.0,-0.0042,0.0,-0.0777
61387,0.097,-21,-8.2241,12,-5.4518,0,2.8804,-9,-6.7857,-11,-6.6889,1.9715,0.0,-0.0004,0.4785,0.4229
61396,0.097,-21,-8.2438,-3,-5.4916,0,2.889,-24,-6.7665,4,-6.6824,1.9715,-0.0515,-0.0464,-0.9141,-0.7804
61407,0.098,-21,-8.2674,-3,-5.5282,-15,2.895,-9,-6.7511,-11,-6.675,1.9765,0.051,0.0413,0.4212,0.301
61416,0.097,-21,-8.2949,-18,-5.5642,15,2.8986,-9,-6.7383,-11,-6.668,1.9765,0.0515,0.0505,0.5208,0.4988
61426,0.097,-6,-8.3248,-18,-5.6024,0,2.9023,-9,-6.7266,-11,-6.6626,1.9715,0.0,0.0051,0.0,0.0499
61435,0.097,-21,-8.3558,-3,-5.6426,0,2.9063,-9,-6.716,-11,-6.659,1.9715,0.0,0.0005,0.4832,0.4399
61446,0.098,-21,-8.389,-3,-5.6821,15,2.9104,6,-6.7052,-11,-6.6569,1.9715,-0.051,-0.0459,-0.8936,-0.7602
61455,0.097,-6,-8.4245,-48,-5.7236,0,2.9161,-9,-6.6929,4,-6.6551,1.9715,-0.0515,-0.051,-1.0468,-1.0182
61465,0.098,-6,-8.4595,117,-5.7604,0,2.9219,-9,-6.6803,-11,-6.6523,1.9715,0.0,-0.0051,0.4267,0.2822
61474,0.097,-6,-8.4928,-3,-5.7781,0,2.9265,6,-6.6676,4,-6.6484,1.9715,0.0,-0.0005,0.0,0.0282
61485,0.098,-21,-8.5256,-3,-5.7839,0,2.93,6,-6.6521,-11,-6.6435,1.9715,0.0,-0.0001,0.0,0.0028
61494,0.098,-21,-8.5606,-3,-5.7885,-15,2.931,-9,-6.6339,-11,-6.639,1.9715,0.0,-0.0,0.4738,0.4267
61503,0.096,9,-8.5964,-3,-5.792,90,2.9362,96,-6.6064,4,-6.6348,1.9715,-0.0521,-0.0469,-0.9182,-0.7837
61513,0.097,9,-8.6277,-3,-5.7944,0,2.9548,-9,-6.5621,4,-6.6283,1.9715,-0.0515,-0.0511,-1.0474,-1.021
61523,0.097,-21,-8.6547,12,-5.7945,0,2.9798,-9,-6.5105,4,-6.6182,1.9715,0.0,-0.0051,0.0,-0.1021
61533,0.098,-21,-8.6826,12,-5.7897,15,3.0043,-9,-6.4612,4,-6.6047,1.9715,0.0,-0.0005,0.0,-0.0102
61542,0.096,-6,-8.7128,-3,-5.78,-15,3.0285,-24,-6.4154,79,-6.5812,1.9715,0.0,-0.0001,0.4778,0.429
61552,0.097,-6,-8.7426,-48,-5.7723,0,3.0497,-9,-6.3744,-11,-6.5427,1.9715,0.0,-0.0,0.5256,0.5159
61561,0.096,9,-8.7693,-3,-5.7717,15,3.0692,-9,-6.3367,19,-6.4963,1.9715,0.0,-0.0,0.0,0.0516
61572,0.098,-21,-8.7931,-3,-5.7741,0,3.0898,-9,-6.3009,-11,-6.4475,1.9715,0.0,-0.0,0.0,0.0052
61581,0.096,-6,-8.8165,-3,-5.7754,0,3.11,-9,-6.2669,-11,-6.3988,1.9715,0.0,-0.0,0.0,0.0005
61591,0.097,-21,-8.841,-3,-5.7758,0,3.1287,-9,-6.2349,-11,-6.3531,1.9715,0.0,-0.0,0.0,0.0001
61600,0.097,-6,-8.8664,-48,-5.7791,0,3.1457,-9,-6.2047,-11,-6.3102,1.9715,0.0,-0.0,0.4833,0.4349
61611,0.098,-6,-8.8915,-3,-5.7892,0,3.1612,-9,-6.1762,4,-6.2688,1.9715,0.0,-0.0,0.5212,0.5126
61620,0.097,9,-8.9136,-3,-5.8021,15,3.1765,-9,-6.1495,-11,-6.2275,1.9715,0.0,-0.0,0.0,0.0513
61629,0.096,-6,-8.9315,147,-5.8004,0,3.1929,-9,-6.1245,-11,-6.1876,1.9715,0.0,-0.0,0.0,0.0051
61639,0.097,-6,-8.9466,-48,-5.7754,0,3.2091,-9,-6.1011,-11,-6.1505,1.9715,0.0,-0.0,0.0,0.0005
61648,0.096,-6,-8.9602,-3,-5.7449,15,3.225,6,-6.0781,-11,-6.116,1.9715,0.0,-0.0,0.0,0.0001
61659,0.098,-21,-8.9737,-18,-5.7194,15,3.2433,-24,-6.0554,-11,-6.0842,1.9715,0.0,-0.0,0.0,0.0
61668,0.096,-6,-8.9885,132,-5.6845,0,3.264,-9,-6.0356,-11,-6.055,1.9715,0.0,-0.0,0.0,0.0
61678,0.097,9,-9.0018,-3,-5.6271,15,3.2856,-9,-6.0187,4,-6.0269,1.9715,0.0,-0.0,0.0,0.0
61687,0.096,-21,-9.0124,-18,-5.5598,0,3.3081,-9,-6.0033,-11,-5.9987,1.9765,0.0521,0.0469,0.4883,0.4395
61697,0.097,-6,-9.023,-3,-5.4959,105,3.3395,-9,-5.9894,-11,-5.9717,1.9715,0.0,0.0047,0.0,0.0439
61707,0.096,-21,-9.0349,-3,-5.4342,-15,3.3859,-9,-5.9769,19,-5.9445,1.9715,0.0,0.0005,0.0,0.0044
61716,0.096,-6,-9.048,12,-5.372,0,3.4365,-9,-5.9658,-11,-5.9145,1.9715,0.0,0.0,0.0,0.0004
61726,0.097,-6,-9.0611,-48,-5.3119,0,3.4833,6,-5.9547,-11,-5.8845,1.9715,0.0,0.0,0.0,0.0
61735,0.096,-6,-9.0727,-3,-5.2591,0,3.5276,-24,-5.9437,-11,-5.8571,1.9715,0.0,0.0,0.0,0.0
61745,0.097,-21,-9.0843,-3,-5.2109,-15,3.5681,-9,-5.9353,-11,-5.8322,1.9715,0.0,0.0,0.0,0.0
61755,0.096,-6,-9.0971,132,-5.1513,0,3.6038,-9,-5.9296,4,-5.8084,1.9765,0.0521,0.0469,0.4883,0.4395
61764,0.096,-6,-9.1098,-3,-5.0688,0,3.6359,-9,-5.9251,-11,-5.7845,1.9715,0.0,0.0047,0.0,0.0439
61774,0.096,-6,-9.1211,-18,-4.9772,0,3.6658,-9,-5.9218,-11,-5.7617,1.9715,0.0,0.0005,0.0,0.0044
61784,0.097,-6,-9.1309,12,-4.8887,0,3.6937,-9,-5.9196,-11,-5.7413,1.9715,-0.0515,-0.0463,-0.961,-0.8645
61794,0.097,-6,-9.1395,-33,-4.8031,0,3.7196,6,-5.9173,-11,-5.7234,1.9715,0.0,-0.0046,0.0,-0.0864
61803,0.096,-21,-9.148,-18,-4.7245,0,3.7435,-9,-5.9135,-11,-5.7077,1.9715,0.0,-0.0005,0.0,-0.0086
61813,0.097,-6,-9.1578,-48,-4.6565,0,3.7654,-9,-5.9096,-11,-5.6943,1.9765,0.0515,0.0463,0.4778,0.4291
61822,0.096,-6,-9.1676,132,-4.5871,0,3.7855,6,-5.9055,-11,-5.6832,1.9715,0.0,0.0046,0.0,0.0429
61833,0.098,-6,-9.176,12,-4.4979,15,3.8049,-9,-5.9,19,-5.6716,1.9715,0.0,0.0005,0.0,0.0043
61842,0.097,-6,-9.183,12,-4.3947,15,3.8265,6,-5.8931,-11,-5.6569,1.9765,0.0515,0.0464,0.4787,0.4313
